"Summary","Description","Issue Type","Priority","Component/s","Labels"
"[Rider] Rider rating hardcoded at 4.8","app/(tabs)/profile.tsx:354 — literal 4.8, no backend-sourced field. Displays a fabricated trust/quality signal.","Bug","Medium","Rider App","qa-audit"
"[Rider] No vehicle type/image fields in rider profile UI","Backend already returns vehicle_number but nothing displays it — incomplete KYC/profile data surface.","Bug","Medium","Rider App","qa-audit"
"[Rider] No document image upload for rider verification","app/(tabs)/profile.tsx:369-388 — Verification Document/Number render as plain read-only text, no image picker/upload UI. Riders can't submit/update KYC documents.","Bug","Medium","Rider App","qa-audit"
"[Rider] Orders screen status badges mismatch backend","app/(tabs)/orders.tsx:30-34 defines a badge for en_route_delivery (dead); picking_up/picked_up (which the backend does emit) have no badge config, falling through to unstyled generic rendering.","Bug","Medium","Rider App","qa-audit"
"[Rider] lib/authService.ts is dead code with a PII-logs risk","Never imported; its unused OTP functions log raw phone numbers and API URLs — latent risk if ever wired back in.","Bug","Low","Rider App","tech-debt"
"[Rider] MapViewWrapper.tsx is unused dead weight","The app bundles react-native-maps and Google Maps keys for no actual in-app map usage.","Bug","Low","Rider App","tech-debt"
"[Rider] State-instead-of-ref double-submit race in otp.tsx","Same pattern as the accept-offer bug above — low-likelihood double-submit race.","Bug","Low","Rider App",""
"[Rider] isActivated session field threaded but dead/unused","Easy to mistake for the real approval gate.","Bug","Low","Rider App","tech-debt"
"[Rider] Hardcoded admin support phone number in home.tsx","Rather than sourced from config.","Bug","Low","Rider App",""
"[Cust] Logout doesn't clear cart/push token","One of 6 previously-known issues, still open.","Bug","High","Customer App",""
"[Cust] trackingService treats any failure as 'Order not found'","One of 6 previously-known issues, still open.","Bug","Medium","Customer App",""
"[Cust] Cold-start push deep links can be dropped","One of 6 previously-known issues, still open.","Bug","Medium","Customer App",""
"[Cust] No push-token unregister on logout","One of 6 previously-known issues, still open.","Bug","Medium","Customer App",""
"[Cust] Dead 'Order Placed!' overlay in checkout.tsx","One of 6 previously-known issues, still open.","Bug","Low","Customer App",""
"[Cust] Service-role key still required for 4 files","lib/supabase.ts:31-54 builds an admin client from a service-role key; addressService.ts, authService.ts, product/coupons.tsx, distanceUtils.ts all still depend on it. Either the key ships inside every installed app (full DB compromise) or these features are broken in production. Needs an architecture fix routing through the authenticated backend. (Order placement's piece of this is already fixed.)","Bug","Highest","Customer App","security"
"[Cust] IDOR on authService.ts/addressService.ts","Both take a bare userId string with zero check it matches the authenticated session. Anyone can query any other customer's full profile and saved addresses by ID alone. (Order placement's piece of this is already fixed; read-only order-history/status lookups also still open.)","Bug","Highest","Customer App","security"
"[Cust] Cart is never cleared after a successful order","COD or paid — the only clearCart() call site is in the failed/cancelled payment branch. A customer can accidentally re-order the same items.","Bug","High","Customer App",""
"[Cust] No cart quantity ceiling or stock check anywhere","CartContext.tsx places no upper bound on quantity, and createOrder never validates against any inventory field before inserting.","Bug","High","Customer App",""
"[Cust] discount_amount hardcoded to 0 on every order","orderService.ts:375 — regardless of an applied coupon; the discount is folded into total_amount, but the dedicated finance/reporting column is always wrong.","Bug","High","Customer App","money"
"[Cust] Coupon expiry is fetched but never enforced","Client or server side — an expired-but-still-active coupon remains applicable with zero re-validation at order-creation time.","Bug","High","Customer App","money"
"[Cust] Google Maps key called directly, bypassing backend proxy","Confirmed direct calls to maps.googleapis.com at multiple screens; backend/src/routes/places.routes.ts already provides an equivalent proxy and is never called. Ships a billable, extractable key inside every installed app.","Bug","High","Customer App","qa-audit security cost"
"[Cust] Invoice screen is fabricated client-side; PDF is a stub","app/order/invoice/[id].tsx:38-54 builds a fake invoice locally, never calling the real backend invoice endpoint. Download shows a 'coming in next update' alert. Customers cannot get a real tax invoice from the app.","Bug","High","Customer App","qa-audit"
"[Cust] Widespread fire-and-forget .catch(() => {}) patterns","Across cache writes and order-placed flags — no logging/telemetry means cache desyncs are invisible in production.","Bug","Medium","Customer App",""
"[Cust] Order-tracking runs 5s+2s polls alongside realtime","Doubling backend load for no benefit when realtime is healthy.","Bug","Medium","Customer App","performance"
"[Cust] Order-confirmation scans full order list, not by ID","Rather than fetching it directly — degrades to a silent empty state if the new order hasn't propagated into the cached list.","Bug","Medium","Customer App",""
"[Cust] GSTIN input in checkout has no format validation","Before being persisted and later printed on the customer's own tax invoice.","Bug","Medium","Customer App",""
"[Cust] Wallet screen is a fully non-functional shell","app/wallet.tsx:37-45 — 'Add Money' just shows a coming-soon alert; balance is hardcoded to Rs 0.00.","Bug","Medium","Customer App","qa-audit"
"[Cust] Saved-payment-methods feature is unimplemented","app/support/payment-options.tsx:112-137 — nothing to display until the backend wires up Razorpay Customer tokens.","Bug","Medium","Customer App","qa-audit"
"[Cust] Payment reconcile loop has no circuit breaker","hooks/usePaymentFlow.ts:59-73 loops the full 10s window and only short-circuits on 'paid', never on cancelled/failed.","Bug","Medium","Customer App","qa-audit"
"[Cust] Hardcoded Rs 25 delivery fee, distance data unused","constants/fees.ts:3,7-9 — real distance computation only used for a UI warning, never fed into the fee calculation. Customer-app twin of the already-fixed website bug.","Bug","Medium","Customer App","qa-audit money"
"[Cust] 29+ more console.log/warn/error call sites","Beyond what's already known, no structured error tracking.","Bug","Low","Customer App",""
"[Cust] lib/supabase.ts logs CRITICAL warning in production","If credentials are missing, rather than failing fast/reporting to a tracker.","Bug","Low","Customer App",""
"[Cust] invoiceService.ts hardcodes placeholder GSTIN/phone","As a silent fallback if business-info fetch fails — could ship on a real customer invoice.","Bug","Low","Customer App",""
"[Cust] Biased shuffle used for 'suggested products'","Array.sort(() => Math.random() - 0.5) — harmless here, but a correctness smell if copied elsewhere.","Bug","Low","Customer App","tech-debt"
"[Infra] createPaymentOrder tests fail (fetch mock leaks)","res.text is not a function — vi.stubGlobal('fetch', ...) replaces fetch process-wide, so an earlier real Supabase call inside createPaymentOrder also gets intercepted by a mock shaped only for the Razorpay response. Needs the test to mock the Supabase call separately.","Bug","Medium","Build-Test-Lint Infra","qa-audit testing"
"[Infra] invoice.test.ts fails on a setTimeout timing bug","downloadHtml() wraps URL.revokeObjectURL(url) in setTimeout(..., 100); the test asserts immediately with no fake-timer advance or await. Not a product bug — the app's actual download behavior is unaffected.","Bug","Low","Build-Test-Lint Infra","testing"
"[Infra] Admin panel has no test infrastructure at all","No test script, no test files — zero automated coverage on the app that gates every store/rider approval and holds the client-side admin login.","Bug","Medium","Build-Test-Lint Infra","testing"
"[Infra] Rider app: 2 ESLint errors, missing displayName","components/MapViewWrapper.tsx:14,20 — both component definitions missing displayName (react/display-name). Low impact since the file is already flagged as unused dead weight.","Bug","Low","Build-Test-Lint Infra",""
"[Infra] Rider app: 18 exhaustive-deps lint warnings","Missing animation-ref dependencies across otp.tsx, signup.tsx, home.tsx, orders.tsx, profile.tsx, _layout.tsx, index.tsx, phone.tsx, earnings.tsx, delivery/[orderId].tsx, OfflineBanner.tsx. Cosmetic/intentional in most cases, not investigated file-by-file.","Bug","Low","Build-Test-Lint Infra",""
"[Infra] Rider app has no test infrastructure","No test script/files.","Bug","Medium","Build-Test-Lint Infra","testing"
"[Infra] Customer app: expo lint fails outright","'No files matching the pattern .../src' — 0 files ever scanned. Traced to a stray, empty, git-untracked src/screens/ directory on the affected machine; expo lint defaults to scanning src/ when present. Fix: delete the empty local src/ directory.","Bug","Medium","Build-Test-Lint Infra",""
"[Infra] Customer app has no test infrastructure","No test script/files — same gap as admin and rider app.","Bug","Medium","Build-Test-Lint Infra","testing"
